Driver,Rookie,Nr,Team,STP,TXS,LBH,ALA,INDY,IN500,DET,ROA,MDO,TOR,IOW1,IOW2,IGP,NSH,GAT,POR,LAG
Álex Palou,,10,Chip Ganassi,10,11,3,3,2,2,18,3,7,22,14,11,7,4,5,4,11
Alexander Rossi,,27,Andretti,13,12,5,5,16,20,11,1,12,4,19,21,2,17,10,9,3
Callum Ilott,R,77,Juncos Hollinger,19,20,21,11,7,19,,12,10,7,22,22,19,19,22,14,2
Christian Lundgaard,R,30,Rahal Letterman,15,24,19,14,8,31,19,13,16,10,20,17,6,3,19,3,16
Colton Herta,,26,Andretti,3,9,1,10,14,25,7,11,3,1,17,12,9,23,11,7,18
Conor Daly,,20,Ed Carpenter,20,16,17,22,4,18,13,18,22,25,3,3,10,22,15,20,15
Dalton Kellett,,4,AJ Foyt,14,22,24,23,26,29,26,23,23,23,26,26,24,12,24,25,24
David Malukas,R,18,Dale Coyne,24,19,18,18,24,13,6,14,8,5,6,14,11,7,12,10,6
Devlin DeFrancesco,R,29,Andretti,18,17,23,20,17,24,21,21,20,12,18,25,14,24,9,24,20
Ed Carpenter,,33,Ed Carpenter,,21,,,,4,,,,,23,19,,,25,,
Felix Rosenqvist,,7,Arrow McLaren,21,1,4,6,6,8,25,7,4,8,11,9,1,15,26,6,8
Graham Rahal,,15,Rahal Letterman,11,26,13,9,12,21,23,22,18,14,16,23,17,9,16,11,19
Hélio Castroneves,,6,Meyer Shank,17,6,14,16,19,27,4,16,15,17,25,24,16,26,17,21,12
J. R. Hildebrand,,11,AJ Foyt,,25,,,,17,,,,,,,,,,,
Jack Harvey,,45,Rahal Letterman,23,,20,15,9,32,20,20,24,13,7,6,13,11,14,17,21
Jimmie Johnson,,48,Chip Ganassi,26,18,25,26,27,12,22,26,27,21,15,13,23,25,21,23,23
Josef Newgarden,,2,Penske,9,7,2,7,3,14,1,2,14,3,2,2,5,6,3,8,25
Juan Pablo Montoya,,6,Arrow McLaren,,,,,23,30,,,,,,,,,,,
Kyle Kirkwood,R,14,AJ Foyt,12,23,12,21,22,28,15,24,9,24,24,20,21,16,20,13,17
Marco Andretti,,98,Andretti,,,,,,23,,,,,,,,,,,
Marcus Ericsson,,8,Chip Ganassi,8,14,8,12,18,5,8,4,13,9,12,15,25,18,2,18,9
Pato O'Ward,,5,Arrow McLaren,16,10,11,2,5,7,5,5,1,15,4,7,3,5,7,5,5
Rinus VeeKay,,21,Ed Carpenter,4,8,15,1,15,,14,17,11,20,8,8,8,10,23,12,14
Romain Grosjean,,28,Andretti,5,13,6,8,10,9,12,6,17,11,10,10,22,2,18,15,4
Sage Karam,,24,Dreyer & Reinbold,,,,,,22,,,,,,,,,,,
Santino Ferrucci,,23,3 Teams,,27,,,,15,17,,,,,,,,,,
Scott Dixon,,9,Chip Ganassi,7,5,16,13,21,1,9,9,5,2,13,18,20,14,6,16,13
Scott McLaughlin,,3,Penske,1,2,9,4,11,26,10,8,2,6,5,5,15,1,4,1,7
Simon Pagenaud,,60,Meyer Shank,6,15,10,24,20,16,3,10,6,18,21,16,12,13,13,19,10
Stefan Wilson,,25,Dragonspeed/Cusick,,,,,,33,,,,,,,,,,,
Takuma Sato,,51,Dale Coyne,22,3,22,17,13,10,2,19,19,19,9,4,18,20,8,22,22
Tatiana Calderón,R,11,AJ Foyt,25,,26,25,25,,24,25,26,,,,,,,,
Tony Kanaan,,1,Chip Ganassi,,,,,,6,,,,,,,,,,,
Will Power,,12,Penske,2,4,7,19,1,11,16,15,21,16,1,1,4,8,1,2,1
Simona de Silvestro,,16,Paretta,,,,,,,,27,25,,,,,21,,,26
